Posisi,Mitra,Bidang,Lokasi,Deskripsi,Provinsi,Kabupaten_Kota,Kecamatan,Skor_Kecocokan,Probabilitas_Diterima,Sentimen,Kategori_Sentimen,Skor_Deskripsi
Digital Marketing,Pt Partner Impian Milenial (Schoters),Komunikasi & Media,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Di posisi ini, kamu akan berperan dalam pengelolaan
database CRM dan analisis data untuk mendukung
strategi komunikasi yang lebih personal dan efektif.
Kamu akan membantu menyusun dan mengeksekusi
kampanye blast (email, WhatsApp, dll) yang tepat
sasaran berdasarkan segmentasi data, serta
memberikan insight dari hasil kampanye untuk
mendukung keputusan marketing berikutnya.",Jakarta,Jakarta Pusat,Setia Budi,12,50.0,0.0,Netral,2
Digital Marketing,Pt Partner Impian Milenial (Schoters),Komunikasi & Media,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Di posisi ini, peserta magang bertanggung jawab
membangun dan mengelola kerja sama dengan KOL
yang memiliki latar belakang pendidikan luar negeri
atau lainnya, untuk mempromosikan produk study
abroad Schoters. Fokus utama adalah menciptakan
konten awareness yang edukatif, inspiratif, dan
berkelanjutan guna memperkuat positioning Schoters
sebagai solusi persiapan studi ke luar negeri.",Jakarta,Jakarta Pusat,Setia Budi,10,41.67,0.0,Netral,1
Digital Marketing,Pt Partner Impian Milenial (Schoters),Komunikasi & Media,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Di posisi ini, peserta magang bertugas membuat ide
dan konsep iklan digital yang kreatif serta relevan.
Membantu menyusun copywriting, memberi arahan
visual, dan mengikuti tren untuk mendukung kampanye
promosi digital.",Jakarta,Jakarta Pusat,Setia Budi,8,33.33,0.0,Netral,0
Digital Marketing,Pt Partner Impian Milenial (Schoters),Marketing & Commercial,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Di posisi ini, peserta magang akan membantu proses perencanaan, eksekusi, dan analisis iklan berbayar di
platform seperti Meta Ads dan Google Ads. Posisi ini
cocok bagi yang ingin mengembangkan kemampuan
analitis dan logika pemasaran secara praktikal.",Jakarta,Jakarta Pusat,Setia Budi,8,33.33,0.0,Netral,0
Copywriter / Editor,Pt Partner Impian Milenial (Schoters),Komunikasi & Media,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, peserta magang akan membantu tim
content dalam merancang dan menulis artikel yang tidak hanya menarik untuk dibaca, tetapi juga dioptimasi
agar mudah ditemukan di mesin pencari seperti Google.",Jakarta,Jakarta Pusat,Setia Budi,8,33.33,0.0,Netral,0
Digital Marketing,Pt Partner Impian Milenial (Schoters),Komunikasi & Media,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Di posisi ini, peserta magang akan mendukung
pengembangan tools pemasaran untuk kebutuhan
brand untuk semua unit bisnis di perusahaan",Jakarta,Jakarta Pusat,Setia Budi,10,41.67,0.0,Netral,1
Content Creator / Videographer,Pt Partner Impian Milenial (Schoters),Komunikasi & Media,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Di posisi ini, peserta magang akan bertanggung jawab
membuat konten kreatif yang menarik, relevan, dan
berpotensi viral untuk berbagai platform digital. Posisi
ini menuntut kreativitas tinggi, kepekaan terhadap tren,
serta kemampuan teknis dalam produksi dan distribusi
konten.",Jakarta,Jakarta Pusat,Setia Budi,7,29.17,0.0,Netral,1
Content Creator / Videographer,Pt Partner Impian Milenial (Schoters),Komunikasi & Media,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Di posisi ini, peserta magang akan terlibat dalam
pembuatan video yang selaras dengan identitas brand
untuk media sosial, kampanye pemasaran, hingga
kebutuhan branding internal dan eksternal serta
kebutuhan desain lainnya. Untuk seluruh department di
Schoters",Jakarta,Jakarta Pusat,Setia Budi,7,29.17,0.0,Netral,1
Data Analyst / Data Scientist,Pt Partner Impian Milenial (Schoters),Teknologi Informasi,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Bertanggung jawab dalam memenuhi kebutuhan data
dari berbagai Business Unit, termasuk pengolahan
data, pembuatan visualisasi, serta penyusunan insight
berbasis data. Posisi ini berperan penting dalam
memastikan data yang disediakan akurat, mudah
diakses, dan mampu mendukung pengambilan
keputusan strategis perusahaan.Posisi ini juga
berperan dalam menjaga keandalan sistem data dan
mendukung efisiensi operasional melalui otomasi.",Jakarta,Jakarta Pusat,Setia Budi,14,58.33,0.0,Netral,2
Public Relations,Pt Partner Impian Milenial (Schoters),Pemasaran & Penjualan,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, peserta magang akan terlibat dalam
mendukung proses penjajakan kerja sama eksternal
dengan institusi pendidikan, korporat, maupun lembaga
lainnya, melalui aktivitas riset mitra potensial, inisiasi
komunikasi awal, serta penyusunan dan penyampaian
presentasi penawaran kerja sama.",Jakarta,Jakarta Pusat,Setia Budi,9,37.5,0.0,Netral,2
Business Operation,Pt Partner Impian Milenial (Schoters),Operasional & Logistik,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, peserta magang akan terlibat dalam
mendukung aktivitas administrasi dan pelaporan kerja
sama, termasuk melakukan tracking progres kemitraan,
menyusun dokumen penawaran, serta memastikan
komunikasi dan eksekusi kerja sama berjalan dengan
tertib dan terdokumentasi dengan baik.",Jakarta,Jakarta Pusat,Setia Budi,7,29.17,0.0,Netral,1
HR Officer / Recruiter,Pt Partner Impian Milenial (Schoters),Sumber Daya Manusia,"Provinsi : Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setia Budi","Dalam posisi ini, pemagang akan berperan langsung
dalam mendukung kegiatan rekrutmen, employer
branding, dan employee engagement di perusahaan.
Pemagang akan mendapatkan pengalaman langsung
dalam proses rekrutmen secara menyeluruh
(end-to-end hiring), mempelajari strategi retensi
karyawan, serta berkontribusi dalam berbagai inisiatif
untuk membangun citra perusahaan sebagai tempat
kerja yang positif dan menarik. Selain itu, pemagang
juga akan dilibatkan dalam kegiatan internal yang
bertujuan memperkuat hubungan antar karyawan dan
meningkatkan keterlibatan (engagement) dalam
lingkungan kerja.",Jakarta,Jakarta Pusat,Setia Budi,10,41.67,0.0,Netral,1
Administrasi pemerintahan - Pengatalog,Perpustakaan Nasional,Pengolahan Bahan Perpustakaan,"Provinsi                     : DKI Jakarta
Kabupaten/Kota        : Jakarta Pusat
Kecamatan                : Senen",Memastikan bahwa setiap bahan perpustakaan diolah dengan baik sehingga mudah ditemukan kembali.,DKI Jakarta,Jakarta Pusat,Senen,7,29.17,0.0,Netral,1
"Employer Branding Intern (1), Content Creator / Videographer (1), Digital Marketing (1)",Pt Bank Danamon Indonesia Tbk,Komunikasi & Media,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setiabudi","Posisi ini ditujukan bagi mahasiswa yang memiliki ketertarikan dan keahlian di bidang komunikasi strategis, media digital, serta corporate branding.
Peserta akan terlibat langsung dalam inisiatif
komunikasi internal dan eksternal, termasuk produksi
konten kreatif, kampanye, serta pengelolaan kanal
media digital perusahaan.",DKI Jakarta,Jakarta Pusat,Setiabudi,8,33.33,0.0,Netral,0
IT Support / System Administrator (3),Pt Bank Danamon Indonesia Tbk,Teknologi & Informasi,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setiabudi","Posisi ini ditujukan bagi mahasiswa yang tertarik untuk
mendalami pengelolaan infrastruktur IT di industri
perbankan. Peserta akan terlibat dalam aktivitas
pendukung operasional harian, pemeliharaan sistem
dan perangkat jaringan, serta troubleshooting layanan
IT untuk pengguna internal.",DKI Jakarta,Jakarta Pusat,Setiabudi,10,41.67,0.0,Netral,0
Learning & Development Intern,Pt Bank Danamon Indonesia Tbk,"Riset, Kebijakan, & Pendidikan","Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setiabudi","Posisi ini bertujuan memberikan pengalaman langsung
kepada mahasiswa dalam merancang, mengelola, dan
mengevaluasi program pembelajaran karyawan di
lingkungan perusahaan.",DKI Jakarta,Jakarta Pusat,Setiabudi,7,29.17,0.0,Netral,0
"Centralized & Shared Service Operations Intern (5), Loan & Trade Operations Intern (1), Operations Policy & Reporting Intern (1)",Pt Bank Danamon Indonesia Tbk,Operasional & Logistik,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setiabudi","Posisi ini memberikan pengalaman praktis dalam
mendukung operasional harian perbankan yang
mencakup people, process, & technology. Posisi ini
sangat relevan bagi mahasiswa yang tertarik pada
aspek back-office banking dan manajemen proses.",DKI Jakarta,Jakarta Pusat,Setiabudi,5,20.83,0.0,Netral,0
"Talent Acquisition Intern (1), Employee Engagement, Intern (1)",Pt Bank Danamon Indonesia Tbk,Sumber Daya Manusia,"Provinsi : DKI Jakarta
Kabupaten/Kota : Jakarta Pusat
Kecamatan : Setiabudi","Posisi ini memberikan kesempatan kepada mahasiswa
untuk memhami proses pengelolaan talent di
perusahaan yang mencakup perekrutan dan
penguatan keterikatan karyawan (employee
engagement). Peserta akan terlibat dalam aktivitas
kampanye employer branding, rekrutmen, serta
perancangan pelaksanaan program engagement untuk
karyawan Danamon.",DKI Jakarta,Jakarta Pusat,Setiabudi,8,33.33,0.0,Netral,0
